,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,itemknn,1,popularity,0.0,0.2359764508487544,0.3604073481656943,0.0021524312689560707,0.5848451753748928,0.7069867759596866,0.002148017965241164,0.0002632964718272775,0.00010938819094427309,0.00037154057691182496,-0.9976042531002662,-0.9705723764028137,-0.9940718289642517
1,itemknn,1,popularity,0.2,0.23863355688611082,0.3201373968755486,0.003619998043244301,0.5562847417221678,0.4611568383879901,0.0036125756688146844,0.0007898894154818325,0.0005740594464923057,0.0016411101916631143,-0.9897448627039104,-0.8953961531895251,-0.9741138744933476
2,itemknn,1,popularity,0.4,0.2386358870598865,0.3201373968755486,0.003619998043244301,0.5562802910117299,0.4611568759120918,0.0036125756688146844,0.0007898894154818325,0.0005740594464923057,0.0016411101916631143,-0.9897448627039104,-0.8953961531895251,-0.9741138744933476
3,itemknn,1,popularity,0.6,0.2386358870598865,0.3201373968755486,0.003619998043244301,0.5562802910117299,0.4611568759120918,0.0036125756688146844,0.0007898894154818325,0.0005740594464923057,0.0016411101916631143,-0.9897448627039104,-0.8953961531895251,-0.9741138744933476
4,itemknn,1,popularity,0.8,0.2386358870598865,0.3201373968755486,0.003619998043244301,0.5562802910117299,0.4611568759120918,0.0036125756688146844,0.0007898894154818325,0.0005740594464923057,0.0016411101916631143,-0.9897448627039104,-0.8953961531895251,-0.9741138744933476
5,itemknn,1,popularity,1.0,0.2386358870598865,0.3201373968755486,0.003619998043244301,0.5562802910117299,0.4611568759120918,0.0036125756688146844,0.0007898894154818325,0.0005740594464923057,0.0016411101916631143,-0.9897448627039104,-0.8953961531895251,-0.9741138744933476
6,slopeOne,1,popularity,0.0,0.2293373086551122,0.37858782034403543,0.07690049897270326,0.598499702426996,0.5843596104786279,0.07693809802772895,0.0,0.0002681287979471234,0.0005803493066526243,-0.9956370016324687,-0.9073620985610001,-0.9873143394502643
7,slopeOne,1,popularity,0.2,0.20567072028102454,0.2517125548534349,0.09558751589864005,0.5396199447591188,0.3772649895464609,0.09597734817418473,0.00039494470774091627,0.0011843535026789366,0.003016990981051011,-0.9687626363347914,-0.8395308340016732,-0.9263040259251665
8,slopeOne,1,popularity,0.4,0.20565876169864233,0.25158046779006815,0.09539184032873496,0.5396093182135975,0.3771366301198331,0.09578207381370826,0.00039494470774091627,0.0011843535026789366,0.003016990981051011,-0.9687626363347914,-0.8391422888055513,-0.9262995742044156
9,slopeOne,1,popularity,0.6,0.20565245051213268,0.25155297086186035,0.09519616475882986,0.5396190182192051,0.3771234809986005,0.09548916227299356,0.00039494470774091627,0.0011843535026789366,0.003016990981051011,-0.9687626363347914,-0.8410019035142628,-0.9262974225393859
10,slopeOne,1,popularity,0.8,0.20565092129819232,0.25154072318764586,0.09539184032873496,0.5396144188766104,0.37711824807976935,0.09568443663347002,0.00039494470774091627,0.0011843535026789366,0.003016990981051011,-0.9687626363347914,-0.8405925805001666,-0.9262910046419699
11,slopeOne,1,popularity,1.0,0.20565232639377695,0.25152677944532537,0.09558751589864005,0.5396060334944097,0.3771163798489091,0.0958797109939465,0.00039494470774091627,0.0011843535026789366,0.003016990981051011,-0.9687626363347914,-0.840083523959793,-0.9262894094420341
12,SVDpp,1,popularity,0.0,0.18436665634126512,0.21337030674039015,0.0365913315722532,0.4815756509803177,0.30115460766742164,0.03846904901386448,0.020537124802527645,0.015931719493133458,0.04061395095162866,-0.8661141284072444,0.4819155335723555,-0.6780905820392609
13,SVDpp,1,popularity,0.2,0.17604821011019922,0.19299038529050425,0.043146463164073966,0.46441217280250596,0.12856835221854768,0.0450107400898262,0.05423907319641917,0.040996012939140916,0.109947539222816,-0.724291662557085,0.32038254329373816,-0.4634317236303427
14,SVDpp,1,popularity,0.4,0.17588598484449675,0.1856355581885205,0.0444183543684571,0.4632830753801429,0.12406611852780616,0.046377660613161495,0.056608741442864666,0.042605261123231056,0.11362042052207966,-0.7223339798870594,0.15331226452493496,-0.44415684861100746
15,SVDpp,1,popularity,0.6,0.1757439788656314,0.1834870831139203,0.045494570002935136,0.463023511665711,0.12313757373204343,0.04745166959578207,0.05766192733017378,0.04306033564031186,0.11470698864063851,-0.7221234196590132,0.042772195119165746,-0.43784972484633
16,SVDpp,1,popularity,0.8,0.17565847913565907,0.18293077935755742,0.04608159671265043,0.4629945029668349,0.12287301422770346,0.04803749267721148,0.05779357556608741,0.04323698981084441,0.11503663164405713,-0.7224906747852085,-0.008517848550716467,-0.43495595796748543
17,SVDpp,1,popularity,1.0,0.17565089550401294,0.18297198306126122,0.04627727228255552,0.4630222517594704,0.12282103244015086,0.04823276703768795,0.057925223802001054,0.04335858680842873,0.1152633069201005,-0.7228440668239002,-0.037340837644846525,-0.43352610235993516
